section,metric,value,note
implementation,version,v7,""
definition,treatment_timing,absorbing_first_adoption,Uses event_index and time_index; legacy monthly usage flags are audit-only.
definition,first_stage,log_age+ncloc+log_contributors+log_stars+log_issues|repo_id+time_index,""
definition,cluster,repo_id,""
definition,dynamic_horizon_argument,"-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6",Matches original Rmd horizon=-6:6; package output contains placebo -6:-2 and post 0:6 terms.
definition,pretrend_horizon,"-6,-5,-4,-3,-2",""
definition,reference_event_time,-1,""
definition,pretrend_check,package_native_ci_includes_zero,Matches the original Rmd; no independent regression is used as a hard validation.
input,rows,1954,""
input,repositories,167,""
input,treatment_repositories,63,""
input,control_repositories,104,""
sample,untreated_first_stage_rows,1591,""
sample,treated_static_rows,363,""
sample,treated_dynamic_rows,343,""
qc,legacy_mismatch_rows,11,""
qc,legacy_mismatch_repositories,3,""
qc,normalized_timing_errors,0,""
qc,duplicate_repo_time_rows,0,""
qc,missing_model_rows,0,""
model,static_outcomes_completed,2,""
model,dynamic_estimated_terms,24,""
model,dynamic_plot_rows,24,""
model,pretrend_check_rows,10,""
model,pretrend_outcomes_checked,2,""
artifact,html_report,repo_x01/run-x-a06/model-a/velocity_model_a_report.html,Generated in the same run-x-a06 execution; no second report program is required.
static_effect,log_commits_estimate,0.054717300592691,""
static_effect,log_commits_p_value,0.625033088486131,""
pretrend,log_commits_all_ci_include_zero,TRUE,""
pretrend,log_commits_periods_excluding_zero,"",""
static_effect,log_lines_added_estimate,0.647106412402476,""
static_effect,log_lines_added_p_value,0.0124646197422724,""
pretrend,log_lines_added_all_ci_include_zero,TRUE,""
pretrend,log_lines_added_periods_excluding_zero,"",""
