repo_name,source_group,exact_commit_rows,sum_abs_diff_ncloc,median_abs_diff_ncloc,max_abs_diff_ncloc,sum_abs_diff_bugs,median_abs_diff_bugs,max_abs_diff_bugs,sum_abs_diff_vulnerabilities,median_abs_diff_vulnerabilities,max_abs_diff_vulnerabilities,sum_abs_diff_code_smells,median_abs_diff_code_smells,max_abs_diff_code_smells,sum_abs_diff_duplicated_lines_density,median_abs_diff_duplicated_lines_density,max_abs_diff_duplicated_lines_density,sum_abs_diff_comment_lines_density,median_abs_diff_comment_lines_density,max_abs_diff_comment_lines_density,sum_abs_diff_cognitive_complexity,median_abs_diff_cognitive_complexity,max_abs_diff_cognitive_complexity,sum_abs_diff_technical_debt,median_abs_diff_technical_debt,max_abs_diff_technical_debt,sum_abs_diff_static_analysis_warnings,median_abs_diff_static_analysis_warnings,max_abs_diff_static_analysis_warnings
DakeQQ/YOLO-Depth-Estimation-for-Android,control,14,0.0,0.0,0.0,51.0,5.0,5.0,42.0,4.0,4.0,469.0,34.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.0,102.0,161.0,376.0,25.0,39.0
VirtualFlow/VFVS,control,2,7017.0,3508.5,7017.0,19.0,9.5,19.0,2.0,1.0,1.0,351.0,175.5,344.0,5.7,2.85,5.7,5.4,2.7,5.4,2180.0,1090.0,2180.0,3225.0,1612.5,3190.0,370.0,185.0,362.0
thegreenwebfoundation/admin-portal,control,19,293.0,19.0,24.0,215.0,11.0,13.0,286.0,14.0,18.0,406.0,22.0,35.0,16.999999999999996,1.1,1.1999999999999997,0.30000000000000426,0.0,0.10000000000000142,0.0,0.0,0.0,1399.0,52.0,125.0,335.0,15.0,36.0
kuleshov-group/caduceus,control,10,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.0,4.0,300.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1460.0,156.0,156.0,334.0,36.0,36.0
OSU-NLP-Group/HippoRAG,control,11,71.0,0.0,71.0,4.0,0.0,2.0,0.0,0.0,0.0,307.0,24.0,39.0,0.5,0.0,0.5,0.10000000000000142,0.0,0.10000000000000142,34.0,0.0,34.0,1513.0,105.0,210.0,311.0,24.0,41.0
whiteducksoftware/flock,treatment,4,1179.0,13.5,1152.0,24.0,5.0,12.0,20.0,0.0,20.0,242.0,32.5,158.0,0.30000000000000027,0.0,0.30000000000000027,1.0,0.0,1.0,186.0,0.0,186.0,1338.0,218.0,782.0,286.0,36.5,190.0
synaptiai/prompt-decorators,treatment,7,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,280.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1088.0,170.0,170.0,283.0,48.0,48.0
stakewise/v3-operator,control,19,0.0,0.0,0.0,97.0,5.0,7.0,19.0,1.0,1.0,198.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,42.0,42.0,276.0,15.0,16.0
BalancerMaxis/multisig-ops,control,18,8384.0,466.0,468.0,77.0,4.0,6.0,0.0,0.0,0.0,351.0,20.5,21.0,59.099999999999994,3.25,3.700000000000001,5.199999999999999,0.2999999999999998,0.40000000000000036,648.0,36.0,36.0,468.0,24.0,64.0,274.0,16.5,17.0
FolhaSP/mosaico,control,7,0.0,0.0,0.0,218.0,22.0,47.0,0.0,0.0,0.0,38.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,25.0,60.0,256.0,28.0,52.0
Kiln-AI/Kiln,treatment,11,0.0,0.0,0.0,255.0,4.0,75.0,0.0,0.0,0.0,203.0,20.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1405.0,142.0,234.0,250.0,22.0,40.0
appl-team/appl,treatment,9,0.0,0.0,0.0,18.0,2.0,2.0,0.0,0.0,0.0,233.0,33.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.0,139.0,143.0,241.0,35.0,36.0
samuelgursky/davinci-resolve-mcp,treatment,2,5880.0,2940.0,2940.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,115.0,115.0,93.19999999999999,46.599999999999994,46.599999999999994,1.4000000000000057,0.7000000000000028,0.7000000000000028,2654.0,1327.0,1327.0,3152.0,1576.0,1576.0,230.0,115.0,115.0
bropines/chrome-lens-py,control,10,0.0,0.0,0.0,24.0,0.0,8.0,0.0,0.0,0.0,203.0,14.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,70.0,295.0,227.0,14.0,67.0
NVIDIA/cuEquivariance,control,10,8.0,0.0,8.0,30.0,3.0,5.0,0.0,0.0,0.0,197.0,18.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2976.0,342.0,468.0,225.0,21.0,57.0
zju3dv/ready_to_react,control,2,0.0,0.0,0.0,10.0,5.0,5.0,2.0,1.0,1.0,212.0,106.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1084.0,542.0,542.0,224.0,112.0,112.0
qiboteam/qibojit,control,15,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,15.0,17.0,0.10000000000000053,0.0,0.10000000000000053,0.0,0.0,0.0,2.0,0.0,2.0,1031.0,71.0,78.0,220.0,15.0,17.0
Multi-V-VM/MVVM,treatment,8,670.0,17.5,195.0,5.0,0.5,2.0,18.0,2.0,4.0,194.0,27.0,29.0,3.000000000000014,0.1999999999999993,0.8000000000000043,0.6999999999999975,0.04999999999999982,0.1999999999999993,33.0,0.0,11.0,620.0,79.0,86.0,217.0,30.5,33.0
sirkirby/unifi-network-rules,treatment,9,0.0,0.0,0.0,42.0,2.0,11.0,4.0,0.0,1.0,175.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,60.0,230.0,213.0,14.0,48.0
baaivision/EVE,control,5,0.0,0.0,0.0,12.0,0.0,6.0,37.0,7.0,8.0,187.0,27.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,901.0,127.0,260.0,212.0,34.0,55.0
The-Pocket/PocketFlow,treatment,8,0.0,0.0,0.0,5.0,1.0,1.0,26.0,3.5,5.0,179.0,25.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.0,125.0,165.0,202.0,30.0,41.0
zhang-xr/FirmLLM,control,3,0.0,0.0,0.0,17.0,5.0,7.0,3.0,1.0,1.0,163.0,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,788.0,316.0,316.0,183.0,71.0,71.0
Event-AHU/OpenEvDET,control,13,0.0,0.0,0.0,36.0,0.0,8.0,36.0,0.0,8.0,111.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.0,0.0,125.0,183.0,0.0,41.0
lss233/kirara-ai,treatment,8,20.0,0.0,20.0,62.0,8.5,14.0,6.0,1.0,2.0,114.0,17.5,30.0,0.19999999999999996,0.0,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,509.0,74.5,135.0,182.0,29.0,39.0
VRSEN/agency-swarm,treatment,19,76.0,0.0,55.0,5.0,0.0,4.0,38.0,2.0,2.0,144.0,6.0,21.0,0.0,0.0,0.0,0.09999999999999964,0.0,0.09999999999999964,13.0,0.0,13.0,793.0,13.0,330.0,173.0,8.0,19.0
instructor-ai/instructor,treatment,19,520.0,0.0,520.0,101.0,3.0,39.0,0.0,0.0,0.0,145.0,5.0,27.0,0.10000000000000053,0.0,0.10000000000000053,0.0,0.0,0.0,65.0,0.0,65.0,575.0,19.0,111.0,170.0,9.0,22.0
ITSpecialist111/ai_automation_suggester,control,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,26.0,26.0,0.5,0.0,0.5,0.2999999999999998,0.0,0.2999999999999998,1.0,0.0,1.0,787.0,130.0,130.0,158.0,26.0,26.0
utensils/mcp-nixos,treatment,4,4636.0,2.0,4630.0,12.0,3.5,4.0,13.0,4.0,4.0,151.0,14.5,108.0,0.19999999999999996,0.0,0.19999999999999996,0.5,0.0,0.5,485.0,0.0,485.0,523.0,14.0,495.0,158.0,18.0,108.0
grapeot/web_agentic_ai,treatment,2,5.0,2.5,3.0,0.0,0.0,0.0,14.0,7.0,7.0,143.0,71.5,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,712.0,356.0,380.0,157.0,78.5,93.0
aj47/100x-orchestrator,control,4,0.0,0.0,0.0,0.0,0.0,0.0,31.0,9.0,9.0,125.0,30.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,99.0,167.0,156.0,39.0,41.0
weaviate/t2v-transformers-models,control,13,0.0,0.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,144.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1791.0,133.0,211.0,137.0,9.0,16.0
markmelnic/stealthenium,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,45.0,45.0,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,852.0,284.0,284.0,135.0,45.0,45.0
smartian1/tgtrader,treatment,5,0.0,0.0,0.0,4.0,1.0,1.0,8.0,2.0,2.0,122.0,21.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,774.0,146.0,246.0,134.0,24.0,44.0
tony/django-docutils,treatment,20,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,130.0,10.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.0,46.5,47.0,126.0,9.5,10.0
vcs-python/vcspull,treatment,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,21.5,41.0,123.0,7.0,8.0
cgevans/qslib,treatment,13,24664.0,0.0,5171.0,68.0,6.0,6.0,0.0,0.0,0.0,149.0,13.0,15.0,12.5,0.0,6.300000000000001,26.200000000000003,0.0,10.4,2876.0,0.0,1248.0,902.0,87.0,92.0,121.0,9.0,13.0
xinsir6/ControlNetPlus,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,200.0,200.0,120.0,40.0,40.0
daojiAnime/vmq-fastapi,treatment,3,135.0,45.0,45.0,6.0,2.0,2.0,0.0,0.0,0.0,114.0,36.0,42.0,5.100000000000001,1.6000000000000005,1.9000000000000004,4.599999999999996,1.3999999999999986,1.799999999999999,0.0,0.0,0.0,1152.0,374.0,404.0,120.0,38.0,44.0
SlyyCooper/cursorrules-architect,treatment,6,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,115.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.0,70.0,146.0,119.0,14.0,33.0
dromara/domain-admin,control,18,0.0,0.0,0.0,18.0,1.0,1.0,124.0,3.0,17.0,66.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,16.0,41.0,108.0,3.5,18.0
Benzauber/convert-commander,control,8,101.0,14.0,14.0,9.0,1.5,2.0,32.0,4.0,4.0,66.0,8.0,11.0,0.0,0.0,0.0,0.8999999999999968,0.09999999999999964,0.1999999999999993,0.0,0.0,0.0,351.0,39.5,57.0,107.0,12.5,16.0
ilanbenb/wa_llm,treatment,9,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,94.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.0,20.0,120.0,106.0,7.0,27.0
AkariAsai/ScholarQABench,control,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,100.0,100.0,104.0,21.0,21.0
jfcrenshaw/pzflow,control,4,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,112.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.0,98.0,98.0,104.0,26.0,26.0
odoo/industry,control,13,14772.0,427.0,9348.0,49.0,1.0,28.0,0.0,0.0,0.0,50.0,4.0,10.0,0.0,0.0,0.0,0.1,0.0,0.1,24.0,0.0,11.0,694.0,46.0,99.0,99.0,5.0,33.0
MalevichAI/malevich,control,11,1052.0,131.0,133.0,123.0,12.0,13.0,22.0,2.0,2.0,100.0,5.0,29.0,0.30000000000000115,0.0,0.10000000000000053,1.0000000000000018,0.09999999999999964,0.20000000000000284,168.0,21.0,21.0,635.0,55.0,150.0,99.0,7.0,18.0
allthingslinux/tux,treatment,16,74.0,0.0,38.0,3.0,0.0,1.0,43.0,3.0,4.0,57.0,2.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465.0,27.5,80.0,95.0,6.0,10.0
vietanhdev/anylabeling,treatment,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,5.0,25.0,85.0,3.0,60.0
zilliztech/mcp-server-milvus,treatment,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,105.0,105.0,83.0,21.0,21.0
askjohngeorge/pipecat-lead-qualifier,treatment,2,0.0,0.0,0.0,8.0,4.0,5.0,0.0,0.0,0.0,65.0,32.5,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,164.0,219.0,73.0,36.5,49.0
ericmjl/pyds-cli,treatment,10,750.0,75.0,75.0,0.0,0.0,0.0,10.0,1.0,2.0,60.0,6.0,9.0,0.0,0.0,0.0,3.0000000000000036,0.20000000000000284,0.7000000000000028,0.0,0.0,0.0,210.0,24.0,39.0,70.0,7.0,9.0
nextml-code/pytorch-datastream,treatment,3,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,66.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,111.0,111.0,69.0,23.0,23.0
EURAC-EEBgroup/brick-llm,control,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,55.0,60.0,67.0,11.0,12.0
gerred/mcp-server-replicate,treatment,2,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,62.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.0,160.0,160.0,64.0,32.0,32.0
c4fun/tell-stories-webui,treatment,2,0.0,0.0,0.0,16.0,8.0,8.0,0.0,0.0,0.0,46.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,115.0,115.0,62.0,31.0,31.0
MDGrey33/pyvisionai,treatment,6,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,66.0,3.5,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328.0,18.5,163.0,61.0,2.0,33.0
plurai-ai/intellagent,control,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,11.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,47.0,49.0,60.0,11.5,13.0
NiceRingNode/LGGPT,control,5,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,4.0,40.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,46.0,46.0,56.0,14.0,14.0
W1ndys/Blog,treatment,16,9.0,1.0,1.0,0.0,0.0,0.0,13.0,1.0,3.0,42.0,4.0,4.0,0.8999999999999986,0.0,0.8999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,180.0,17.0,17.0,55.0,5.0,7.0
bobokun/actualtap-py,control,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,20.0,20.0,52.0,4.0,4.0
wdm0006/git-pandas,treatment,6,0.0,0.0,0.0,22.0,3.0,10.0,4.0,0.0,3.0,38.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,18.0,74.0,52.0,6.5,20.0
jinli99/iShapEditing,control,3,0.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,5.0,38.0,12.0,14.0,3.8000000000000007,1.9000000000000004,1.9000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,172.0,51.0,70.0,51.0,17.0,17.0
infected4098/Wave-U-Mamba,control,7,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,3.0,28.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,17.0,17.0,49.0,7.0,7.0
aws-samples/aws-dms-cdc-data-pipeline,control,7,0.0,0.0,0.0,0.0,0.0,0.0,42.0,6.0,6.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,7.0,7.0
ezyang/codemcp,treatment,4,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,45.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,50.0,71.0,48.0,11.5,16.0
RobinWu218/ToST,control,3,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,37.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,163.0,47.0,0.0,47.0
martinnormark/neural-mesh-simplification,treatment,5,0.0,0.0,0.0,5.0,1.0,1.0,11.0,3.0,3.0,52.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,45.0,45.0,46.0,10.0,10.0
cohnen/mcp-google-ads,treatment,3,0.0,0.0,0.0,36.0,12.0,12.0,0.0,0.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,8.0,18.0,45.0,15.0,17.0
caffeinedoom/reconthing,control,1,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,41.0,41.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,205.0,205.0,45.0,45.0,45.0
aws/nova-act,control,6,14.0,0.0,14.0,5.0,0.0,3.0,0.0,0.0,0.0,49.0,8.0,10.0,0.6,0.050000000000000044,0.29999999999999993,0.0,0.0,0.0,4.0,0.0,4.0,252.0,41.5,51.0,44.0,7.5,8.0
discus0434/nook,treatment,2,0.0,0.0,0.0,20.0,10.0,10.0,16.0,8.0,8.0,7.0,3.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,72.5,90.0,43.0,21.5,25.0
FaceAdapter/Face-Adapter,control,1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,27.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,129.0,129.0,41.0,41.0,41.0
xzq-xu/jvm-mcp-server,treatment,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,70.0,70.0,39.0,17.0,17.0
vortezwohl/Bhakti,control,4,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,35.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,40.0,43.0,39.0,8.0,15.0
Drchip61/Dual_SAM,control,3,0.0,0.0,0.0,24.0,8.0,8.0,3.0,1.0,1.0,18.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,15.0,39.0,13.0,13.0
djeada/Kurs-Podstaw-Pythona,control,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,15.0,15.0,36.0,3.0,3.0
zeyangsha/De-Fake,control,3,0.0,0.0,0.0,0.0,0.0,0.0,26.0,10.0,10.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.0,20.0,36.0,14.0,14.0
PiotrMachowski/Home-Assistant-custom-components-TGE,control,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,25.0,35.0,36.0,5.0,7.0
yoongi43/music_audio_enhancement_conformer,control,4,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,28.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,35.0,35.0,36.0,9.0,9.0
VRSEN/agency-voice-interface,treatment,3,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.0,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,25.0,25.0,30.0,10.0,10.0
viktoriasemaan/sa-ai-agent,control,2,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,20.0,22.0,11.0,11.0
Elevate-Code/better-voice-typing,treatment,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,15.0,20.0,22.0,3.0,4.0
ruiqini/NTFields,control,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,23.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,115.0,115.0,21.0,21.0,21.0
jrowellfx/lsseq,control,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,15.0,15.0,21.0,3.0,3.0
tony/django-slugify-processor,treatment,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,8.0,8.0,20.0,1.0,1.0
evermoving/SystemCaptioner,control,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,20.0,16.0,4.0,4.0
taylorwilsdon/open-webui-tools,control,4,231.0,0.0,231.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.5,8.0,0.0,0.0,0.0,0.8999999999999986,0.0,0.8999999999999986,57.0,0.0,57.0,94.0,17.5,59.0,15.0,3.5,8.0
dimatura/pypcd,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,35.0,35.0,14.0,7.0,7.0
FFY0/AdaKV,control,7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,15.0,15.0,14.0,2.0,3.0
vonssy/DreamerQuests-BOT,control,3,0.0,0.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,5.0,12.0,4.0,4.0
Mineru98/mysql-mcp-server,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,12.0,12.0,12.0
MingSun-Tse/LightAvatar-TensorFlow,control,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,3.0,3.0,1.0,1.0,13.7,6.499999999999999,6.499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,12.0,4.0,4.0
nhw649/EOV-Seg,control,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,16.0,16.0,12.0,4.0,4.0
LuneMods/KCD2-Blender-Toolkit,control,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,30.0,30.0,12.0,6.0,6.0
codingforentrepreneurs/Cursor-Django,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0
Scrapybara/codecapy,treatment,2,0.0,0.0,0.0,4.0,2.0,2.0,2.0,1.0,1.0,5.0,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.5,15.0,11.0,5.5,6.0
TheSethRose/Agent-Chat,treatment,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,45.0,10.0,10.0,10.0
matebenyovszky/healing-agent,treatment,3,0.0,0.0,0.0,2.0,1.0,1.0,10.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,8.0,10.0,2.0,7.0
raphaelmansuy/code2prompt,treatment,6,0.0,0.0,0.0,12.0,2.0,4.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,8.0,10.0,10.0,2.0,2.0
LGro/PyAPSI,control,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,8.0,8.0,8.0
ToolUse/tool-use-ai,treatment,5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,5.0,5.0,8.0,2.0,2.0
neuml/rag,control,8,16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.29999999999999716,0.0,0.10000000000000142,0.0,0.0,0.0,40.0,5.0,5.0,8.0,1.0,1.0
jmurth1234/ClaudePlayer,treatment,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,17.5,30.0,8.0,4.0,7.0
