commit_match_status,metric,comparable_non_null,identical_rows,identical_share_among_non_null,mean_diff,median_abs_diff,max_abs_diff
exact_match,bugs,1510,683,0.452317880794702,-32.880132450331125,1.0,3864.0
exact_match,code_smells,1510,153,0.10132450331125828,108.72649006622517,19.5,8448.0
exact_match,cognitive_complexity,1487,1301,0.874915938130464,-20.75521183591123,0.0,29442.0
exact_match,comment_lines_density,1488,1257,0.844758064516129,-0.07298387096774193,0.0,15.7
exact_match,duplicated_lines_density,1488,1239,0.8326612903225806,-0.16586021505376344,0.0,46.599999999999994
exact_match,ncloc,1488,911,0.6122311827956989,513.799059139785,0.0,133392.0
exact_match,static_analysis_warnings,1517,130,0.08569545154911008,-30.876071193144362,21.0,37725.0
exact_match,technical_debt,1510,139,0.09205298013245033,169.9569536423841,85.0,56847.0
exact_match,vulnerabilities,1510,755,0.5,4.0370860927152314,0.5,137.0
mismatch,bugs,101,45,0.44554455445544555,-26.831683168316832,1.0,1732.0
mismatch,code_smells,101,2,0.019801980198019802,87.41584158415841,16.0,3320.0
mismatch,cognitive_complexity,101,72,0.7128712871287128,74.2871287128713,0.0,3603.0
mismatch,comment_lines_density,101,74,0.7326732673267327,0.102970297029703,0.0,14.5
mismatch,duplicated_lines_density,101,80,0.7920792079207921,0.2386138613861386,0.0,25.3
mismatch,ncloc,101,53,0.5247524752475248,935.2178217821782,0.0,68575.0
mismatch,static_analysis_warnings,101,1,0.009900990099009901,67.00990099009901,13.0,1591.0
mismatch,technical_debt,101,27,0.26732673267326734,319.64356435643566,60.0,13489.0
mismatch,vulnerabilities,101,37,0.36633663366336633,6.425742574257426,2.0,83.0
paper_commit_missing,bugs,422,263,0.6232227488151659,-4.068720379146919,0.0,338.0
paper_commit_missing,code_smells,422,74,0.17535545023696683,0.4881516587677725,6.0,1017.0
paper_commit_missing,cognitive_complexity,413,385,0.9322033898305084,-462.51573849878935,0.0,25067.0
paper_commit_missing,comment_lines_density,418,360,0.861244019138756,0.31435406698564594,0.0,9.100000000000001
paper_commit_missing,duplicated_lines_density,418,356,0.8516746411483254,-0.2906698564593302,0.0,5.7
paper_commit_missing,ncloc,418,327,0.7822966507177034,-389.72727272727275,0.0,9217.0
paper_commit_missing,static_analysis_warnings,551,75,0.13611615245009073,85.01633393829401,14.0,10016.0
paper_commit_missing,technical_debt,422,79,0.1872037914691943,-63.89099526066351,25.0,5328.0
paper_commit_missing,vulnerabilities,422,254,0.6018957345971564,2.928909952606635,0.0,137.0
