repo_name,source_group,driver_metrics,main_root_cause,root_cause_evidence,recommended_reconfiguration_step,max_tracked_files,max_python_files,max_js_ts_files,max_test_like_files,max_doc_example_files,max_generated_vendor_like_files,top_directories,source_scope_hint_directories,existing_config_files,sonar_specific_config_present,driver_abs_diff_sum,cause_row_counts
PostHog/posthog,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells; vulnerabilities; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,12087,3609,3904,2058,119,1080,frontend:5886; posthog:3054; plugin-server:710; products:669; rust:575; ee:535; common:245; hogvm:167,frontend; plugin-server; rust; cypress; dags_test,.gitignore; pyproject.toml,False,755335.0,source_scope_difference_or_mixed:7; commit_selection_difference:5
zauberzeug/nicegui,treatment,technical_debt; ncloc; code_smells; static_analysis_warnings; bugs; cognitive_complexity; duplicated_lines_density,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,1334,716,352,138,307,0,nicegui:836; website:190; examples:161; tests:107; (root):37; .github:11; scripts:5; .cursor:2,website; examples; tests,.gitignore; .pre-commit-config.yaml; pyproject.toml,False,750800.2,source_scope_difference_or_mixed:7; commit_selection_difference:4
DataDog/integrations-core,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs; cognitive_complexity; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,12368,4645,7,4387,859,125,snmp:653; openstack_controller:448; datadog_checks_base:400; datadog_checks_dev:371; ddev:252; mongo:218; sqlserver:140; postgres:96,,.gitignore; .pre-commit-config.yaml; pyproject.toml,False,374588.0,source_scope_difference_or_mixed:7
lancedb/lancedb,control,ncloc; technical_debt; cognitive_complexity; code_smells; static_analysis_warnings,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,697,102,68,89,375,16,docs:302; python:115; nodejs:86; rust:63; java:39; node:35; .github:31; ci:19,docs; rust; dockerfiles,.gitignore; .pre-commit-config.yaml,False,316858.0,source_scope_difference_or_mixed:5
getsentry/sentry,treatment,technical_debt; code_smells; static_analysis_warnings; ncloc; bugs; vulnerabilities; cognitive_complexity,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,17273,6813,7580,4872,511,1010,static:7570; src:4725; tests:4706; fixtures:494; api-docs:75; .github:63; (root):42; bin:24,tests; api-docs,.gitignore; .pre-commit-config.yaml; pyproject.toml; setup.cfg,False,138343.0,source_scope_difference_or_mixed:7
yeagerai/genlayer-studio,treatment,ncloc; technical_debt; cognitive_complexity; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,100033.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:1
TextGeneratorio/text-generator.io,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells; vulnerabilities; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,99008.0,source_scope_difference_or_mixed:6
ethyca/fides,treatment,technical_debt; code_smells; static_analysis_warnings; ncloc; bugs; cognitive_complexity; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,95813.0,source_scope_difference_or_mixed:7
terryyin/lizard,treatment,technical_debt; ncloc; static_analysis_warnings; code_smells; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,83969.0,source_scope_difference_or_mixed:5
wdm0006/elote,treatment,cognitive_complexity; ncloc; technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,146,40,11,19,101,63,docs:85; tests:15; (root):12; examples:12; elote:11; .github:6; .cursor:5; scripts:1,docs; tests; examples,.gitignore; pyproject.toml; setup.cfg; tox.ini,False,83188.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:2
keephq/keep,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; vulnerabilities,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,78431.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:3
cgevans/qslib,treatment,ncloc; cognitive_complexity; technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,81,31,0,17,18,0,python:18; tests:16; docs:15; (root):14; src:10; LICENSES:2; benches:2; examples:2,tests; docs; examples,.gitignore; .pre-commit-config.yaml; pyproject.toml; tox.ini,False,44848.0,paper_commit_missing:5; source_scope_difference_or_mixed:3; commit_selection_difference:2; rule_config_analyzer_profile_signal:1
PromtEngineer/localGPT,control,ncloc; technical_debt; static_analysis_warnings; code_smells,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,43468.0,source_scope_difference_or_mixed:4
aio-libs/aiohttp,control,technical_debt; ncloc; static_analysis_warnings; code_smells; cognitive_complexity; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,40579.0,source_scope_difference_or_mixed:6; rule_config_analyzer_profile_signal:3
PennyLaneAI/catalyst,control,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,885,227,0,267,115,45,mlir:417; frontend:224; doc:112; runtime:51; .github:38; benchmark:18; (root):16; demos:6,frontend; doc,.gitignore; .pylintrc; pyproject.toml,False,39281.0,source_scope_difference_or_mixed:5; rule_config_analyzer_profile_signal:4; commit_selection_difference:3
tsukumijima/KonomiTV,treatment,technical_debt; static_analysis_warnings; code_smells; ncloc; bugs,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,32545.0,source_scope_difference_or_mixed:5
HelpingAI/Webscout,control,technical_debt; static_analysis_warnings; code_smells; ncloc; cognitive_complexity,source_scope_inclusion_exclusion_difference,Large or mixed-language repository with source-scope directories/files; SonarQube inclusion/exclusion settings can change ncloc and warning counts.,First mimic the paper scanner configuration: sonar.sources=. without the pyv2 language-specific exclusions; then run a small sensitivity scan that excludes frontend/tests/docs/examples/generated/vendor directories to quantify scope effects.,0,0,0,0,0,0,,,,False,31275.0,commit_selection_difference:5; source_scope_difference_or_mixed:4; rule_config_analyzer_profile_signal:3
