section,metric,value,note
implementation,version,v3,
definition,panel_design,original_style_unique_repository_month_pool,
definition,treatment_rule,valid_event_and_python_eligible_repo_month,
definition,control_rule,candidate_unique_control_and_python_eligible_repo_month,
definition,control_reuse_weighting,none,A reused control repository-month appears once in the pooled panel.
definition,control_adoption_handling,censor_at_adoption_month,A candidate control that later adopts Cursor contributes only strictly pre-adoption rows.
definition,analysis_window,2024-01:2025-08,
definition,model_a_complete_case,commits_lines_added_age_ncloc_contributors_stars_issues_nonmissing,
definition,ncloc_recovery,fill_originally_missing_values_only,"Strict match on dataset source, repository, month, and effective commit; existing values are never overwritten."
definition,borusyak_estimability,treated_repository_requires_pre_and_post_complete_case_rows,
definition,estimable_control_pool,controls_linked_to_estimable_treatments_only,
definition,model_c_status,snapshot_manifest_for_model_a_estimable_panel,ncloc_py is pending Python-only SonarQube.
input,enriched_panel_rows,2320,
input,matching_pair_rows,345,
input,candidate_unique_controls,156,
input,candidate_control_assignments,330,
ncloc_recovery,patch_rows,128,
ncloc_recovery,matched_rows,128,
ncloc_recovery,applied_rows,128,
ncloc_recovery,treatment_applied_rows,36,
ncloc_recovery,control_applied_rows,92,
ncloc_recovery,overwritten_existing_rows,0,
ncloc_recovery,unmatched_rows,0,
ncloc_recovery,pooled_rows_using_recovered_ncloc,128,
ncloc_recovery,estimable_rows_using_recovered_ncloc,125,
ncloc_recovery,pooled_rows_still_missing_ncloc,0,
scope,treatment_panel_rows,1096,
scope,candidate_control_panel_rows,1185,
scope,candidate_control_repositories_in_panel,123,
scope,candidate_controls_missing_from_panel,33,
pooled_python,treatment_rows,1074,
pooled_python,treatment_repositories,110,
model_a_complete,treatment_rows,1074,
model_a_complete,treatment_repositories,110,
model_a_estimable,treatment_rows,914,
model_a_estimable,treatment_repositories,63,
pooled_python,control_rows,1150,
pooled_python,control_repositories,121,
model_a_complete,control_rows,1150,
model_a_complete,control_repositories,121,
model_a_estimable,control_rows,1040,
model_a_estimable,control_repositories,104,
pooled_python,total_rows,2224,
pooled_python,total_repositories,231,
pooled_python,duplicate_repo_month_rows,0,
model_a_complete,total_rows,2224,
model_a_complete,total_repositories,231,
model_a_complete,rows_excluded_for_missing_fields,0,
model_a_estimable,total_rows,1954,
model_a_estimable,total_repositories,167,
estimability,candidate_treatment_repositories,110,
estimability,estimable_treatment_repositories,63,
estimability,treatment_repositories_without_pre_rows,47,
estimability,treatment_repositories_without_post_rows,0,
estimability,unique_controls_linked_to_estimable_treatments,138,
estimability,controls_contributing_model_a_rows,104,
python_exclusion,control_no_python,32,
python_exclusion,missing_valid_event,17,
python_exclusion,treatment_no_python,5,
python_exclusion,control_post_adoption_censored,2,
python_exclusion,control_python_unknown,1,
control_pool,controls_with_panel_rows,123,
control_pool,controls_with_python_panel_rows,121,
control_pool,controls_with_model_a_complete_rows,121,
control_pool,controls_with_model_a_estimable_rows,104,
control_adoption,candidate_controls_with_adoption_event,1,
control_adoption,post_adoption_rows_censored,2,
control_adoption,post_adoption_python_rows_censored,2,
control_adoption,adoption_signal_without_event_rows,0,
model_c,unique_snapshots_pending_ncloc_py,1496,
qc,exclusion_rows,327,
qc,pooled_future_event_index_errors,0,
qc,pooled_control_post_adoption_rows,0,
qc,pooled_control_is_treatment_rows,0,
qc,pooled_control_cursor_true_rows,0,
qc,estimable_duplicate_repo_month_rows,0,
