section,metric,value,note
implementation,version,v1,
definition,primary_treatment_candidate,valid_event_and_python_eligible_repo_month,
definition,control_snapshot_lookup,latest_control_eligibility_row_at_or_before_treatment_month,Future snapshots are never used.
definition,control_activity_handling,not_performed_in_run_x_a04,Historical activity values are not copied; run-x-a05 constructs velocity rows.
definition,event_window,-6:6,"Used only for stable-control diagnostics, not as a main-sample requirement."
input,matching_pair_rows,345,
input,matching_treatments,115,
input,unique_matched_controls,162,
input,control_repo_month_rows,3655,
treatment,all_panel_rows,1096,
treatment,valid_event_rows,1079,
treatment,python_candidate_rows,1074,
treatment,candidate_repositories,110,
treatment_exclusion,missing_valid_event,17,
treatment_exclusion,treatment_no_python,5,
slot,candidate_control_slots,3222,
slot,pair_status_rows_overridden_by_successful_history,0,A later eligibility scan is treated as authoritative when an older pair audit still reports a missing clone.
slot_status,missing_clone,18,
slot_status,missing_monthly_history,40,
slot_status,no_prior_snapshot,287,
slot_status,no_python,31,
slot_status,python_eligible,2846,
lookup,exact_month,1651,
lookup,prior_asof,1226,
coverage,treatment_months_with_0_python_controls,52,
coverage,treatment_months_with_1_python_controls,46,
coverage,treatment_months_with_2_python_controls,128,
coverage,treatment_months_with_3_python_controls,848,
coverage,treatment_months_with_any_python_control,1022,
coverage,treatment_months_with_all_three_python_controls,848,
snapshot_age,eligible_median_months,1.0,
snapshot_age,eligible_max_months,103,
snapshot_age,eligible_slots_gt_12_months,610,
snapshot_age,eligible_slots_gt_24_months,454,
snapshot_age,eligible_slots_gt_60_months,150,
reuse,controls_reused_by_multiple_treatments,35,
reuse,maximum_treatment_reuse_count,20,
stable_diagnostic,pair_rows,330,
stable_diagnostic,stable_python_pairs,269,
anomaly,rows,345,
